Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/6/2020 20:00,29,9,10,27,62.06,Partially cloudy
1/6/2020 21:00,28,10.4,10,27,65.77,Partially cloudy
1/6/2020 22:00,27.5,10.5,10.9,25.4,69.54,Partially cloudy
1/6/2020 23:00,27,6.7,10,27,74.14,Partially cloudy
1/7/2020 0:00,27,6.7,10,27,74.14,Partially cloudy
1/7/2020 1:00,26.9,6.4,10.2,32,74.33,Partially cloudy
1/7/2020 2:00,26,1.8,8,27,81.53,Partially cloudy
1/7/2020 3:00,25.6,1.8,8,27,82.57,Partially cloudy
1/7/2020 4:00,25,1.8,9.1,27.3,88.13,Partially cloudy
1/7/2020 5:00,24,1.1,8,35.2,94.15,Partially cloudy
1/7/2020 6:00,25,4.7,6,35.2,88.68,Partially cloudy
1/7/2020 7:00,26.2,3.6,9.1,36.6,82.21,Partially cloudy
1/7/2020 8:00,29,6.7,8,27,65.97,Partially cloudy
1/7/2020 9:00,31,6,10,27,52.01,Partially cloudy
1/7/2020 10:00,31.8,5.4,10.9,39.4,50.33,Partially cloudy
1/7/2020 11:00,33.4,9,10,50,41.59,Partially cloudy
1/7/2020 12:00,33.6,10.8,10,88.8,40.67,Overcast
1/7/2020 13:00,33.4,9,10.9,88.9,41.63,Overcast
1/7/2020 14:00,34.6,8.6,10,88.8,37.5,Overcast
1/7/2020 15:00,34,7.8,10,50,38.76,Partially cloudy
1/7/2020 16:00,33.1,10.5,10.9,52.8,48.83,Partially cloudy
1/7/2020 17:00,31.6,14,10,50,54.83,Partially cloudy
1/7/2020 18:00,30,12.2,10,35.2,60.75,Partially cloudy
1/7/2020 19:00,29.9,10.2,10.9,32,58.73,Partially cloudy
1/7/2020 20:00,29,11.6,10,50,59.83,Partially cloudy
1/7/2020 21:00,28.6,11.5,10,50,63.54,Partially cloudy
1/7/2020 22:00,28.9,11.5,10.9,45.4,62.57,Partially cloudy
1/7/2020 23:00,28,11.6,10,35.2,65.77,Partially cloudy
1/8/2020 0:00,25.4,7,8.4,50,91.94,Partially cloudy
1/8/2020 1:00,26.1,4.3,10,53.8,91.89,Partially cloudy
1/8/2020 2:00,26,5.4,9,50,91.97,Partially cloudy
1/8/2020 3:00,26,5.4,8.6,50,88.76,Partially cloudy
1/8/2020 4:00,25.1,6.7,9.1,48.1,87.68,Partially cloudy
1/8/2020 5:00,25,5.4,8,50,88.68,Partially cloudy
1/8/2020 6:00,25,7.8,8,50,94.19,Partially cloudy
1/8/2020 7:00,25.9,5.4,9.1,39.4,87.81,Partially cloudy
1/8/2020 8:00,27.4,4.7,8,35.2,84.66,Partially cloudy
1/8/2020 9:00,29.4,11.2,8,35.2,70.98,Partially cloudy
1/8/2020 10:00,30.9,7.6,10.9,32,59.75,Partially cloudy
1/8/2020 11:00,31.4,9.4,10,35.2,52.72,Partially cloudy
1/8/2020 12:00,33.8,5.6,10,35.2,43.27,Partially cloudy
1/8/2020 13:00,34,10.1,10,50,38.76,Partially cloudy
1/8/2020 14:00,34.6,9,10,50,37.5,Partially cloudy
1/8/2020 15:00,34.2,13.4,10,88.8,44.56,Overcast
1/8/2020 16:00,31.6,13,10,41.9,56.86,Partially cloudy
1/8/2020 17:00,30.6,12.2,10,27,58.72,Partially cloudy
1/8/2020 18:00,29,13,10,27,65.97,Partially cloudy
1/8/2020 19:00,28.9,13,10.9,32.9,64.75,Partially cloudy
